Solanum_lycopersicum.SL3.0.dna.chromosome.1	Solanum_lycopersicum.SL3.0.dna.chromosome.10	Solanum_lycopersicum.SL3.0.dna.chromosome.11	Solanum_lycopersicum.SL3.0.dna.chromosome.12	Solanum_lycopersicum.SL3.0.dna.chromosome.2	Solanum_lycopersicum.SL3.0.dna.chromosome.3	Solanum_lycopersicum.SL3.0.dna.chromosome.4	Solanum_lycopersicum.SL3.0.dna.chromosome.5	Solanum_lycopersicum.SL3.0.dna.chromosome.6	Solanum_lycopersicum.SL3.0.dna.chromosome.7	Solanum_lycopersicum.SL3.0.dna.chromosome.8	Solanum_lycopersicum.SL3.0.dna.chromosome.9
Super-Scaffold_1000106	13.0611870013889	13.3265979161981	13.9269484783508	14.8357147639542	14.1577667027758	12.9241896469142	14.6629229879157	76.3798878269782	13.3491732947864	14.3235197676195	11.9288987163794	14.0703836784305
Super-Scaffold_1000108	0	0	0	0	0.222579682405346	0.158475052439689	68.6409257969642	0	0	0	0	0
Super-Scaffold_1000114	9.54462650007204	8.83858916037134	9.94061464358494	9.17308206912167	10.3008377760853	10.1971449743727	9.86445318128486	38.545676293201	8.40992363269591	9.09280377102159	9.57653197752208	10.3044400074103
Super-Scaffold_1000116	17.5948651846097	16.800275457772	14.8658909116593	17.9021065456536	15.2243391662105	16.659897939364	14.6195680963396	15.038934896615	16.7552487065845	14.6522345628874	15.3735454593611	17.3812088358378
Super-Scaffold_1000125	41.7551021590458	9.62634536043156	9.09944973829016	10.2034491048954	9.36304238048294	9.62344873798988	9.18432077583135	10.7739871718247	10.1857797080011	9.71633376428638	10.5448643366879	9.36198028558766
Super-Scaffold_1000129	6.42365065741596	3.54426992399495	3.85918995388788	3.64615389636031	3.48200387041612	3.07871042695324	3.32568605246927	3.85775404908836	5.06038958707947	3.92517630626544	4.05832384222017	3.70620082433989
Super-Scaffold_1000135	10.975414199855	10.6824970227214	11.1220865965804	11.040198071878	10.4840830516411	10.8623096840129	11.1128928457652	10.9961535912287	10.3855174905764	10.6589781252873	11.3805806601968	10.1330100553977
Super-Scaffold_1000142	99.4234080838961	0	4.69399996130256	0	0	3.05806551477275	3.78847977091113	3.77493566549929	0	3.77493566549929	0	0
Super-Scaffold_1000153	66.2615341158747	9.03309585085682	9.90796246312222	9.54153850982362	11.2489015127738	9.9468018329044	12.2755947523696	9.05310401104764	9.26260121775155	12.6749733224531	10.3842351390371	9.91855501851736
Super-Scaffold_1000172	59.621350172748	3.70078263251032	4.593752633353	5.76085468104829	5.22865404061684	6.48344674306901	6.85330117131541	9.43978048369428	6.93348677003455	5.57796831549676	5.3368848487402	5.98574302688127
Super-Scaffold_1000183	3.0949877820083	3.37770642723191	3.16673296584645	3.16531226913678	0	0	0	0.988094561572995	0	3.34360970619992	3.86180883105075	58.8111609933511
Super-Scaffold_1000188	15.0738494133206	14.3328250352547	12.8334019310829	15.2744134892414	14.4964475362162	11.24221527998	13.9246121978044	15.1713481819347	13.6822147401945	12.9487810967093	62.5346643545851	12.1094145350759
